dt vl vr
1512745843.679   11.324    3.668    0.150 -0.914  0.0100 -0.0032  0.9460 -0.0407 -0.0260 -0.0216
1512745843.700   11.310    3.693    0.150 -0.914 -0.0029  0.0078  0.9417 -0.0451 -0.0238 -0.0217
1512745843.706   11.310    3.693    0.150 -0.914  0.0061  0.0078  0.9436 -0.0469 -0.0276 -0.0220
1512745843.726   11.313    3.719    0.150 -0.914  0.0190  0.0078  0.9519 -0.0439 -0.0193 -0.0217
1512745843.731   11.313    3.719    0.150 -0.914  0.0112  0.0229  0.9561 -0.0449 -0.0280 -0.0216
1512745843.749   11.329    3.703    0.150 -0.914  0.0251  0.0149  0.9507 -0.0415 -0.0257 -0.0237
1512745843.765   11.326    3.702    0.150 -0.914  0.0115  0.0122  0.9446 -0.0451 -0.0194 -0.0237
1512745843.771   11.326    3.702    0.150 -0.914 -0.0068  0.0115  0.9426 -0.0411 -0.0218 -0.0192
1512745843.791   11.316    3.698    0.150 -0.914  0.0247  0.0093  0.9348 -0.0510 -0.0253 -0.0232
1512745843.798   11.316    3.698    0.150 -0.914  0.0056  0.0334  0.9373 -0.0426 -0.0278 -0.0192
1512745843.814   11.321    3.691    0.150 -0.914 -0.0020 -0.0049  0.9541 -0.0421 -0.0222 -0.0274
1512745843.821   11.321    3.691    0.150 -0.914  0.0442  0.0117  0.9436 -0.0494 -0.0265 -0.0222
1512745843.841   11.319    3.670    0.150 -0.914  0.0110  0.0034  0.9382 -0.0394 -0.0230 -0.0242
1512745843.859   11.326    3.667    0.150 -0.914  0.0142  0.0159  0.9497 -0.0465 -0.0254 -0.0252
1512745843.868   11.326    3.667    0.150 -0.914  0.0129  0.0210  0.9441 -0.0399 -0.0225 -0.0208
1512745843.873   11.326    3.667    0.150 -0.914  0.0227  0.0012  0.9521 -0.0433 -0.0261 -0.0232
1512745843.880   11.326    3.667    0.150 -0.914  0.0015  0.0156  0.9409 -0.0413 -0.0233 -0.0208
1512745843.898   11.332    3.668    0.150 -0.914 -0.0012  0.0056  0.9402 -0.0466 -0.0270 -0.0202
1512745843.917   11.338    3.662    0.150 -0.914  0.0237  0.0029  0.9448 -0.0439 -0.0260 -0.0224
1512745843.923   11.338    3.662    0.150 -0.914  0.0059  0.0085  0.9509 -0.0466 -0.0234 -0.0246
1512745843.943   11.337    3.647    0.150 -0.914  0.0188  0.0125  0.9500 -0.0445 -0.0233 -0.0220
1512745843.949   11.337    3.647    0.150 -0.914  0.0098  0.0112  0.9507 -0.0402 -0.0241 -0.0242
1512745843.970   11.328    3.651    0.150 -0.914 -0.0029  0.0098  0.9319 -0.0473 -0.0214 -0.0226
1512745843.977   11.328    3.651    0.150 -0.914  0.0215  0.0005  0.9475 -0.0426 -0.0285 -0.0236
1512745843.995   11.332    3.656    0.150 -0.914  0.0305  0.0149  0.9324 -0.0442 -0.0218 -0.0209
1512745844.000   11.332    3.656    0.150 -0.914  0.0083  0.0037  0.9504 -0.0449 -0.0309 -0.0205
1512745844.020   11.338    3.661    0.150 -0.914  0.0129  0.0022  0.9314 -0.0395 -0.0234 -0.0246
1512745844.028   11.338    3.661    0.150 -0.914  0.0122  0.0115  0.9595 -0.0418 -0.0278 -0.0228
1512745844.050   11.347    3.648    0.150 -0.914  0.0078 -0.0029  0.9382 -0.0437 -0.0205 -0.0248
1512745844.069   11.348    3.649    0.150 -0.914  0.0239  0.0203  0.9358 -0.0435 -0.0264 -0.0188
1512745844.077   11.348    3.649    0.150 -0.914 -0.0046  0.0181  0.9412 -0.0466 -0.0193 -0.0217
1512745844.095   11.341    3.653    0.150 -0.914  0.0120  0.0024  0.9363 -0.0447 -0.0308 -0.0201
1512745844.102   11.341    3.653    0.150 -0.914  0.0071  0.0178  0.9546 -0.0450 -0.0212 -0.0241
1512745844.119   11.338    3.654    0.150 -0.914  0.0234  0.0127  0.9395 -0.0466 -0.0281 -0.0214
1512745844.126   11.338    3.654    0.150 -0.914  0.0103  0.0093  0.9595 -0.0393 -0.0228 -0.0229
1512745844.144   11.346    3.658    0.150 -0.914  0.0088  0.0063  0.9360 -0.0454 -0.0277 -0.0228
1512745844.168   11.279    3.779    0.150 -0.914  0.0146  0.0037  0.9404 -0.0439 -0.0261 -0.0248
1512745844.189   11.277    3.766    0.150 -0.914  0.0183  0.0090  0.9482 -0.0438 -0.0201 -0.0217
1512745844.195   11.277    3.766    0.150 -0.914 -0.0015  0.0061  0.9250 -0.0381 -0.0209 -0.0222
1512745844.214   11.303    3.739    0.150 -0.914  0.0063  0.0037  0.9448 -0.0434 -0.0305 -0.0193
1512745844.233   11.300    3.738    0.150 -0.914  0.0374  0.0325  0.9580 -0.0445 -0.0234 -0.0232
1512745844.239   11.300    3.738    0.150 -0.914 -0.0237  0.0120  0.9482 -0.0425 -0.0248 -0.0197
1512745844.259   11.297    3.737    0.150 -0.914  0.0225  0.0039  0.9365 -0.0407 -0.0192 -0.0202
1512745844.281   11.340    3.661    0.150 -0.914  0.0063  0.0056  0.9299 -0.0414 -0.0229 -0.0237
1512745844.299   11.342    3.663    0.150 -0.914  0.0159  0.0012  0.9324 -0.0427 -0.0278 -0.0218
1512745844.306   11.342    3.663    0.150 -0.914  0.0142  0.0151  0.9565 -0.0465 -0.0276 -0.0252
